"q"	"h"	"a"
"07.00"		"Het is zeven uur 's morgens."
"Het is kwart over drie 's middags."		"15.15"
"21.30"		"Het is half tien 's avonds."
"Het is tien voor acht 's morgens."		"07.50"
"12.00"		"Het is twaalf uur 's middags."
"Het is kwart voor vijf 's middags."		"16.45"
"06.30"		"Het is half zeven 's morgens."
"Het is vijf over negen 's morgens."		"09.05"
"18.45"		"Het is kwart voor zeven 's avonds."
"Het is tien over twee 's middags."		"14.10"
"23.15"		"Het is kwart over elf 's avonds."
"Het is vijf voor twaalf 's middags."		"11.55"
"08.15"		"Het is kwart over acht 's morgens."
"Het is twintig over vier 's middags."		"16.20"
"10.30"		"Het is half elf 's morgens."
"Het is vijf over vijf 's middags."		"17.05"
"13.45"		"Het is kwart voor twee 's middags."
"Het is tien voor drie 's middags."		"14.50"
"05.15"		"Het is kwart over vijf 's morgens."
"Het is vijf voor acht 's morgens."		"07.55"
"17.10"		"Het is tien over vijf 's middags."
"Het is kwart over twaalf 's middags."		"12.15"
"22.50"		"Het is tien voor elf 's avonds."
"Het is half vier 's middags."		"15.30"
"09.40"		"Het is twintig voor tien 's morgens."
"Het is twintig voor zes 's middags."		"17.40"
"14.05"		"Het is vijf over twee 's middags."
"Het is kwart voor tien 's morgens."		"09.45"
"19.30"		"Het is half acht 's avonds."
"Het is vijf voor twee 's middags."		"13.55"
